id,通用名称,药品名称,注意事项,注意事项关系
35,利培酮胶囊,,1.患有心血管疾病的人(如心衰、心肌梗死、传导异常、脱水、失血及脑血管病变)应慎用，从小剂量开始并应逐渐加大剂量。2.由于本品具有α受体阻断活性，因此在用药初期和加药速度过快时会发生(体位性)低血压，此时则应考虑减量。3.同其他具有多巴胺受体拮抗剂性质的药物相似，引起迟发性运动障碍，其特征为有节律的不随意运动，主要见于舌及面部。如果出现迟发性运动障碍，应停止服用所有的抗精神病药。4.已有报道指出，服用经典的抗精神病药会出现恶性综合征，其特征为高热、颤抖、意识改变和肌酸磷酸酶水平升高。此时应停用包括本品在内的所有抗精神病药物。5.患有帕金森氏综合征的病人应慎用本品，因为在理论上该药会引起此病的恶化。6.经典的抗精神病药会降低癫痫的发作阈值，故患有癫痫的病人应慎用本品。7.服用本品的患者应避免进食过多，以免发胖。8.鉴于本品对中枢神经系统的作用，在与其他作用于中枢的药物同时服用时应慎重。9.本品对需要警觉性的活动有影响。因此，在了解到患者对该药的敏感性前，建议患者不应驾驶汽车或操作机器。,心血管疾病-慎用，心衰-慎用，心肌梗塞-慎用，传导异常-慎用，脱水-慎用，失血-慎用，脑血管病变-慎用，体位性低血压-减量，迟发性运动障碍-停用，恶性症状群-停用，高热-停用，肌肉僵直-停用，颤抖-停用，意识改变-停用，肌酸磷酸激酶水平升高-停用，帕金森氏综合症-慎用，癫痫-慎用，中枢的药物-慎用，驾驶汽车-不宜，操作机器-不宜
36,利培酮口崩片,,1.患有心血管疾病的人(如心衰、心肌梗死、传导异常、脱水、失血及脑血管病变)应慎用，从小剂量开始并应逐渐加大剂量(见[用法用量])。2.由于本品具有α受体阻断活性，因此在用药初期和加药速度过快时会发生(体位性)低血压，此时则应考虑减量。3.同其他具有多巴胺受体拮抗剂性质的药物相似，引起迟发性运动障碍，其特征为有节律的不随意运动，主要见于舌及面部。如果出现迟发性运动障碍，应停止服用所有的抗精神病药。4.已有报道指出，服用经典的抗精神病药会出现恶性综合征，其特征为高热、颤抖、意识改变和肌酸磷酸酶水平升高。此时应停用包括本品在内的所有抗精神病药物。5.患有帕金森氏综合征的病人应慎用本品，因为在理论上该药会引起此病的恶化。6.经典的抗精神病药会降低癫痫的发作阈值，故患有癫痫的病人应慎用本品。7.服用本品的患者应避免进食过多，以免发胖。8.鉴于本品对中枢神经系统的作用，在与其他作用于中枢的药物同时服用时应慎重。9.本品对需要警觉性的活动有影响。因此，在了解到患者对该药的敏感性前，建议患者不应驾驶汽车或操作机器。10.在老年痴呆患者(平均年龄85岁，范围73～97岁)的安慰剂对照的研究中，发现利培酮组脑血管病不良事件的发生率(3.3%)比较高，包括脑血管意外、心脏衰竭和短暂性脑缺血发作，发生率比安慰剂(1.2%)对照组高三倍。该研究还发现，利培酮与呋塞米同时使用时，死亡率高于单独使用利培酮或呋塞米的患者，分别为7.3%(平均年龄89岁，范围75～97岁)、3.1%(平均年龄84岁，范围70～96岁)和4.1%(平均年龄80岁，范围67～90岁)。在完成的4个临床研究中，在2个研究中发现了以上情况。并没有找到病理生理学方面的依据来解释以上发现，并且患者的死亡原因没有固定模式。尽管如此，对以上患者合并给与利培酮和呋塞米时需谨慎评估风险利益。在合并其它利尿剂的服用利培酮的患者中，并没用出现以上死亡率增加的现象，但是，因为对于老年痴呆患者而言，总体而言脱水是很重要的致死因素，所以仍应尽量避免使用利尿剂。,心血管疾病-慎用，心衰-慎用，心肌梗塞-慎用，传导异常-慎用，脱水-慎用，失血-慎用，脑血管病变-慎用，体位性低血压-减量，迟发性运动障碍-停用，恶性症状群-停用，高热-停用，肌肉僵直-停用，颤抖-停用，意识改变-停用，肌酸磷酸激酶水平升高-停用，帕金森氏综合症-慎用，癫痫-慎用，驾驶汽车-不宜，操作机器-不宜，
37,奥氮平片,,在治疗精神病的过程中，患者临床状况的好转可能需要几天甚至几个星期，在此期间应密切监护患者。痴呆相关的精神病/或行为障碍啊奥氮平没有被批准用做治疗痴呆有关的精神病和/或行为紊乱。对这类特殊的患者也不推荐使用，因为有增加死亡率和脑血管时间的风险。在一项安慰剂对照的临床试验中(6-12周)，受试者为患有痴呆的精神病和/或行为紊乱的老年人(平均年龄78岁)。和安慰剂比较，用奥氮平治疗的患者的死亡率有2倍的增加(分别为3.5%，1.5%)。但死亡发生率与奥氮平的剂量(平均日剂量为4.4mg)或治疗的周期无正相关性详见内包装说明书。,痴呆相关的精神病-慎用，行为障碍-慎用
38,帕利哌酮缓释片,,"会增高痴呆相关性精神病老年患者的死亡率与安慰剂相比，使用非典型性抗精神病药物治疗的痴呆相关性精神病老年患者的死亡危险性会增高，本品未批准用于治疗痴呆相关性精神病。(痴呆精神病学术语,指精神原性(如早发性痴呆)的或由损坏脑物质的疾病(如神经梅毒或动脉硬化)引起的智力恶化。)",
39,奥氮平片,,可引起嗜睡，从事危险作业时应谨慎。若和酒精同服，可使奥氮平的镇静作用增强。患者长期服用抗精神病药(包括奥氮平)，如果出现迟发性运动障碍的体征或症状，应减药或停药。若出现神经阻滞剂恶性综合症(NMS)的临床表现(如高热肌强直精神状态改变及植物神经紊乱等)，应立即停用所有抗精神病药，包括奥氮平。,嗜睡-谨慎，神经阻滞剂恶性综合症（NMS）-禁用，迟发性运动障碍-停用
40,谷氨酸片,,1.少尿、尿闭禁用，肾功能不全者慎用。2.用药期间应注意电解质平衡，可能时测血二氧化碳结合力及钾、钠、氯含量。3.用于肝昏迷时，与谷氨酸钾合用，二者比例一般为3:1或2:1，钾低时为1:1。,少尿-禁用，尿毕-禁用，肾功能不全者-慎用，
41,利培酮口服溶液,,1、患有心血管疾病的人(如心衰、心肌梗死、传导异常、脱水、失血及脑血管病变)应慎用，从小剂量开始并应逐渐加大剂量(见,心血管疾病-慎用，心衰-慎用，心肌梗死-慎用，传导异常-慎用，脱水-慎用，失血及脑血管病变-慎用
42,舒必利片,,1、患有心血管疾病(如心率失常、心肌梗死、传导异常)应慎用。2、出现迟发性运动障碍，应停用所有的抗精神病药。3、出现过敏性皮疹及恶性症状群应立即停药并进行相应的处理。4、基底神经节病变，帕金森综合征，严重中枢神经抑制状态者慎用。5、肝、肾功能不全者应减量。6、癫痫患者慎用。,心血管疾病-慎用，心率失常-慎用，心肌梗死-慎用，传导异常-慎用，迟发性运动障碍-停用，过敏性皮疹-停用，恶性综合征应-停用，肝、肾功能不全-减量，肝功能不全-减量，肾功能不全-减量，癫痫-慎用，基底神经节病变-慎用，帕金森综合征-慎用
43,奥氮平片,,奥氮平可引起嗜睡，从事危险作业时应谨慎。若和酒精同服，可使奥氮平的镇静作用增强。患者长期服用抗精神病药（包括奥氮平），如果出现迟发性运动障碍的体征或症状，应减药或停药。若出现神经阻滞剂恶性综合症（NMS）的临床表现（如高热肌强直精神状态改变及植物神经紊乱等），应立即停用所有抗精神病药，包括奥氮平。,嗜睡-谨慎，神经阻滞剂恶性综合症（NMS）-禁用，迟发性运动障碍-停用
44,利培酮分散片,,1.患有心血管疾病(如心衰、心肌梗塞、传导异常、脱水、失血及脑血管病变)的人应慎用，从小剂量开始并应逐渐增加剂量(见用法用量);⒉由于该品具有α受体阻断活性，因此在用药初期和加药速度过快时会发生(体位性)低血压，此时则应考虑减量;⒊同其它具有多巴胺受体拮抗剂性质的药物相似，引起迟发性运动障碍，其特征为有节律的不随意运动，主要见于舌及面部。如果出现迟发性运动障碍，应停止服用所有的抗精神病药;⒋已有报道指出，服用经典的抗精病药会出现恶性症状群，其特征为高热、肌肉僵直、颤抖、意识改变和肌酸磷酸激酶水平升高。此时应停用包括该品在内的所有抗精神药物;⒌患有帕金森氏综合征的病人应慎用该品，因为在理论上该药会引起此病的恶化;⒍经典的抗精神病药会降低癫痫的发作阈值，故患有癫痫的病人仍应慎用该品;⒎服用该品的患者应避免进食过多，以免发胖;⒏鉴于该品对中枢神经系统的作用，在与其它作用于中枢的药物同时服用时应慎重;⒐该患者不应驾驶汽车或操作机器;10.孕妇及哺乳妇女慎用。,心血管疾病-慎用，心衰-慎用，心肌梗塞-慎用，传导异常-慎用，脱水-慎用，失血-慎用，脑血管病变-慎用，（体位性）低血压-减量，高热-停用，肌肉僵直-停用，颤抖-停用，意识改变-停用，肌酸磷酸激酶水平升高-停用，帕金森氏综合症-慎用，癫痫-慎用，中枢的药物-慎用，驾驶汽车-不宜，操作机器-不宜，迟发性运动障碍-停用，孕妇-慎用，哺乳妇女-慎用
45,利培酮片,,1、患有心血管疾病的人(如心衰、心肌梗死、传导异常、脱水、失血及脑血管病变)应慎用，从小剂量开始并应逐渐加大剂量(见,心血管疾病-慎用，心衰-慎用，心肌梗死-慎用，传导异常-慎用，脱水-慎用，失血-慎用，脑血管病变-慎用
46,阿立哌唑片,,1.应慎用于心血管疾病(心肌梗塞、缺血性心脏病、心脏衰竭或传导异常病史)患者、脑血管疾病患者或诱发低血压的情况(脱水、血容量过低和降压药治疗)。2.应慎用于有癫痫病史或癫痫阈值较低的情况(如阿尔茨海默氏病性痴呆)。3.应警告患者小心驾驶汽车。4.应慎用于有吸入性肺炎风险性的患者。,心血管疾病-慎用，心肌梗塞-慎用，缺血性心脏病-慎用，心脏衰竭-慎用，传导异常病史-慎用，脑血管疾病-慎用，低血压-慎用，癫痫-慎用，阿尔茨海默氏病性痴呆-慎用，驾驶汽车-警告，吸入性肺炎-慎用，脱水-慎用，血容量过低-慎用，降压药-慎用
47,奥氮平口崩片,,1、抗精神病药物恶性综合症(NMS)NMS是一种与抗精神病药物有关的潜在致死性的疾病。用奥氮平治疗的患者罕有NMS的报道。NMS的临床特征是高热、肌强直、意识改变和植物神经系统功能不稳定(脉搏和血压不规则、心动过速、大汗以及心脏节律紊乱)。附加症状还包括肌酸磷酸激酶升高、肌红蛋白尿(横纹肌溶解)以及急性肾衰。如果患者的症状和体征提示NMS，或表现为不能解释的高热而不伴有NMS的其他临床特征，那么所有的抗精神病药物，包括奥氮平均应停用。2、迟发性运动障碍在与氟哌啶醇超过6周的对比研究中，奥氮平治疗中发生的运动障碍较少，且有统计学显著性。但长期用药会使迟发性运动障碍的危险性增加。因此，若用奥氮平治疗的患者出现迟发性运动障碍的症状和体征，应考虑减少用药量或停药。停止治疗后这些症状可能会出现一过性恶化甚或加重。3、苯丙氨酸奥氮平口崩片含有天冬酰苯丙氨酸甲酯，是苯丙氨酸的一个来源。对驾驶和操作机器能力的影响由于奥氮平可以导致嗜睡，因此警告患者服用奥氮平口崩片时，应谨慎操作危险机器，包括机动车辆。,危险作业-谨慎，迟发性运动障碍-停用，经阻滞剂恶性综合症（NMS）-停用，高热肌强直精神状态改变-停用，植物神经紊乱-停用，操作危险机器-不宜
